Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
Bam Adebayo,19,0,2024-25,27,MIA,19,19,0,1.5,109,109,0.4,1.1,0.108,-0.4,1.1,0.7,0.5,16.9,8.3,22,15.1,21.9,2.4,2.2,10.4,21.9,C-F,adebaba01
Ochai Agbaji,19,0,2024-25,24,TOR,21,19,0,1.5,127,117,1.1,0.4,0.107,0.2,0.3,0.5,0.4,13.3,3.5,12.4,7.9,9.2,1.6,1.9,9.3,13.4,G,agbajoc01
Santi Aldama,11,0,2024-25,24,MEM,21,11,0,1.8,120,109,0.9,0.9,0.153,1.5,0.7,2.2,0.6,16.7,6.8,21.1,14.3,16.8,1.4,1.5,11.4,18.3,F,aldamsa01
Jarrett Allen,21,0,2024-25,26,CLE,21,21,0,3.1,142,108,2.1,1,0.241,2.8,0.4,3.2,0.8,22.4,9.1,30.1,20,7.3,1.5,3.1,9.2,15.8,C-F,allenja01
Giannis Antetokounmpo,17,0,2024-25,30,MIL,17,17,0,3.1,123,110,2.3,0.8,0.251,7,2.6,9.6,1.7,32.3,6.7,29.4,18.4,39.2,0.7,3.8,11.1,37,F-G,antetgi01
OG Anunoby,20,0,2024-25,27,NYK,20,20,0,1.7,119,115,1.1,0.6,0.112,0.1,-0.5,-0.4,0.3,15.3,3.8,12.4,8.3,7.5,1.9,2.4,8.2,19.1,F,anunoog01
Deni Avdija,12,0,2024-25,24,POR,21,12,0,0.9,108,113,0.2,0.6,0.073,-0.6,0.7,0.1,0.3,14.3,4.7,20.2,12.1,17.5,1.9,3,16,19.9,G-F,avdijde01
Deandre Ayton,14,0,2024-25,26,POR,14,14,0,0.8,111,112,0.3,0.5,0.092,-0.7,-1.3,-1.9,0,16.9,9.9,27,18.1,7.1,1.5,2,12.7,19.7,C,aytonde01
LaMelo Ball,18,0,2024-25,23,CHO,18,18,0,1.5,111,115,1,0.5,0.116,5.9,-0.5,5.4,1.1,21.7,2.9,14.8,8.6,42.3,1.6,0.6,14.1,39.6,G,ballla01
Desmond Bane,13,0,2024-25,26,MEM,14,13,0,0.6,103,108,0,0.6,0.073,-1.8,0.1,-1.7,0,12.6,3.1,20.6,12.2,19.2,1.4,1.7,14.1,23.1,G,banede01
Harrison Barnes,20,0,2024-25,32,SAS,20,20,0,1.7,134,118,1.4,0.3,0.137,1.3,-1.6,-0.3,0.3,14.3,7.2,10.8,9,8.2,0.5,0.6,8.4,14.2,F,barneha02
Scottie Barnes,10,0,2024-25,23,TOR,10,10,0,0.7,110,114,0.3,0.3,0.093,3.5,0.6,4.2,0.5,19.4,7.8,20.7,14.2,31.9,2,1.7,14.8,28.1,G-F,barnesc01
RJ Barrett,18,0,2024-25,24,TOR,18,18,0,0.9,109,117,0.5,0.4,0.067,1.6,-1.1,0.4,0.4,17.2,3,17.3,10.1,29,1.2,0.8,13.5,30.1,G-F,barrerj01
Bradley Beal,11,0,2024-25,31,PHO,11,11,0,0.8,117,116,0.6,0.2,0.106,0.9,0,0.8,0.3,16.7,1.8,10.5,6.2,15.4,1.7,2.3,9.5,21.6,G,bealbr01
Goga Bitadze,15,0,2024-25,25,ORL,18,15,0,1.9,129,101,0.9,1,0.223,-0.5,3.3,2.8,0.5,19.8,12.8,24,18.2,12.4,1.9,7.4,19.1,14.2,C,bitadgo01
Devin Booker,19,0,2024-25,28,PHO,19,19,0,2.3,123,119,2.1,0.3,0.16,4,-1.5,2.4,0.8,20.8,3.7,7,5.3,29.7,1.3,1.1,9.1,27.8,G,bookede01
Brandon Boston Jr.,10,0,2024-25,23,NOP,19,10,0,0.5,108,118,0.2,0.3,0.044,-2,0,-2,0,13.5,2.9,12.4,7.4,19.9,2.7,0.7,12.5,19.4,G-F,bostobr01
Christian Braun,18,0,2024-25,23,DEN,18,18,0,1.8,129,116,1.3,0.4,0.134,0.7,-0.4,0.3,0.4,15.7,3.9,11.8,7.9,7.7,1.7,1.7,10.3,15.8,G,braunch01
Mikal Bridges,20,0,2024-25,28,NYK,20,20,0,0.9,110,118,0.5,0.4,0.054,-0.6,-1.6,-2.2,0,12.4,3.3,8,5.7,11.3,1.3,1.4,9.2,19,F-G,bridgmi01
Miles Bridges,11,0,2024-25,26,CHO,11,11,0,0.8,115,114,0.4,0.3,0.109,1.2,-0.8,0.5,0.2,15.9,2.5,21.9,11.8,16.4,1,1.5,8.5,22.4,G-F,bridgmi02
Dillon Brooks,21,0,2024-25,29,HOU,21,21,0,1.5,114,110,0.6,0.9,0.109,-1.8,0.1,-1.7,0.1,10,4.2,7.9,6,7,0.9,0.7,6.8,16.8,F-G,brookdi01
Jaylen Brown,16,0,2024-25,28,BOS,16,16,0,1.5,113,112,0.8,0.7,0.125,0.8,-1.3,-0.5,0.2,18.5,4.8,14.9,9.8,19.3,1.4,0.9,9.7,30.4,F-G,brownja02
Jalen Brunson,20,0,2024-25,28,NYK,20,20,0,2.9,127,120,2.7,0.2,0.202,5.1,-2.2,2.9,0.9,22.8,1.6,8.1,5,34.5,0.9,0.1,10,29.4,G,brunsja01
Jimmy Butler,14,0,2024-25,35,MIA,14,14,0,2.2,135,114,1.8,0.4,0.238,4.3,0.6,4.8,0.8,23.4,7.9,9.6,8.7,24.5,1.9,0.9,8.9,22.1,F-G,butleji01
Kentavious Caldwell-Pope,21,0,2024-25,31,ORL,21,21,0,1.5,115,107,0.5,1.1,0.118,-2.9,2.3,-0.7,0.2,10.1,1.6,6.8,4.1,9,2.4,2,7.9,12.2,G,caldwke01
Toumani Camara,21,0,2024-25,24,POR,21,21,0,0.7,109,116,0.2,0.5,0.055,-1.8,0.2,-1.6,0.1,10.6,7.7,10.5,9.1,10.5,2.4,1.2,15.9,13.9,F,camarto01
Clint Capela,22,0,2024-25,30,ATL,22,22,0,1.7,127,112,1.1,0.6,0.166,1,-0.8,0.2,0.3,20.4,16.2,26.7,21.4,8.8,1.4,4,8.5,17.1,C,capelca01
Carlton Carrington,12,0,2024-25,19,WAS,18,12,0,0,101,120,-0.2,0.1,-0.004,-4,-0.7,-4.7,-0.3,9.5,0.9,14.2,7.5,22.1,2,1.1,18.2,15.6,G,carrica01
Stephon Castle,13,0,2024-25,20,SAS,20,13,0,0.2,102,117,-0.2,0.4,0.018,-3,-1.4,-4.4,-0.3,10.3,3.4,7,5.3,20.4,1.4,1.5,13.1,21.6,G,castlst01
