Rk,Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
61,Josh Green,17,0,2024-25,24,CHO,18,17,0,0.7,120,118,0.5,0.3,0.074,-3.2,-0.3,-3.5,-0.2,8.7,3.5,6.7,5,8.8,1.3,1,10.9,11.4,G-F,greenjo02
62,Rui Hachimura,16,0,2024-25,26,LAL,16,16,0,1,121,119,0.8,0.2,0.09,-0.2,-1.3,-1.5,0.1,13.2,7.2,11.8,9.5,7.7,1.2,1.4,5.6,15.3,F,hachiru01
63,Tyrese Haliburton,21,0,2024-25,24,IND,21,21,0,1.6,119,120,1.4,0.2,0.106,3.2,-1.9,1.3,0.6,17.3,2.7,8.4,5.6,34.4,1.8,1.3,10.6,21.7,G,halibty01
64,Tim Hardaway Jr.,19,0,2024-25,32,DET,19,19,0,0.8,117,119,0.5,0.2,0.069,-1.8,-1.4,-3.1,-0.1,8.8,0.6,6.1,3.5,8.8,0.5,0,6.7,14.6,G,hardati02
65,James Harden,22,0,2024-25,35,LAC,22,22,0,2.4,111,107,1,1.4,0.149,3.8,1.8,5.7,1.5,20.6,2,21.2,11.6,40.1,2.4,2.2,18.2,30.3,G,hardeja01
66,Tobias Harris,21,0,2024-25,32,DET,21,21,0,1.1,108,111,0.3,0.8,0.08,-1.5,0.4,-1.2,0.1,12.7,3.5,19.9,11.9,11.1,1.1,2.6,9.5,18.6,F,harrito02
67,Josh Hart,20,0,2024-25,29,NYK,20,20,0,2.8,136,114,2.1,0.7,0.179,2.2,1.1,3.2,1,17.7,5.7,20,13.1,19.4,1.8,1.1,15.2,14.1,G,hartjo01
68,Tyler Herro,19,0,2024-25,25,MIA,19,19,0,1.8,117,115,1.2,0.6,0.131,3.8,-1,2.8,0.8,19,0.8,15.4,8,24.4,1,0.3,11.1,27,G,herroty01
69,Haywood Highsmith,11,0,2024-25,28,MIA,17,11,0,0.9,119,111,0.4,0.5,0.103,-2.6,1.4,-1.1,0.1,11.2,3.3,9.7,6.5,6.4,2.4,3.5,8.5,10.8,F,highsha01
70,Jrue Holiday,19,0,2024-25,34,BOS,19,19,0,1.4,118,114,0.8,0.6,0.112,-0.6,-0.1,-0.7,0.2,12.9,3.7,11.3,7.5,17.7,1.2,0.9,13.8,16.5,G,holidjr01
71,Chet Holmgren,10,0,2024-25,22,OKC,10,10,0,1.1,113,98,0.3,0.7,0.195,2.1,3.5,5.7,0.5,22.6,6.3,27.7,17.1,11.3,1.5,9.8,14.8,25,F-C,holmgch01
72,Al Horford,15,0,2024-25,38,BOS,16,15,0,1.3,125,110,0.7,0.6,0.143,1.2,1.4,2.6,0.5,13.8,4,16.6,10.2,11.4,1.4,2.8,10.3,13.3,C-F,horfoal01
73,Kevin Huerter,15,0,2024-25,26,SAC,18,15,0,0.3,101,114,-0.1,0.4,0.034,-3.3,-0.2,-3.5,-0.2,9.6,1.3,13.6,7.6,10.9,2,2.2,10.8,16.5,G,huertke01
74,Brandon Ingram,16,0,2024-25,27,NOP,16,16,0,0.1,104,120,0,0.1,0.01,1.7,-2,-0.3,0.2,16.8,3.1,16,9.3,30.1,1.2,1.7,15.8,30.8,F,ingrabr01
75,Kyrie Irving,19,0,2024-25,32,DAL,19,19,0,2.8,126,114,2.2,0.6,0.199,6,0.1,6.2,1.4,22.3,3.6,11,7.4,24.3,1.7,0.5,9.4,26.3,G,irvinky01
76,Jaden Ivey,21,0,2024-25,22,DET,21,21,0,0.9,107,114,0.3,0.6,0.07,0.4,-0.7,-0.3,0.3,15.4,5,10.2,7.7,22.7,1.5,1.3,15.6,27.1,G,iveyja01
77,Andre Jackson Jr.,10,0,2024-25,23,MIL,18,10,0,-0.1,86,113,-0.5,0.4,-0.014,-6.6,0.2,-6.4,-0.4,5,5,15.1,10.2,9.9,1.9,1.7,29.8,11.9,G,jacksan01
78,Jaren Jackson Jr.,19,0,2024-25,25,MEM,19,19,0,2.1,117,105,1,1.1,0.186,2,1.2,3.2,0.7,22.3,5.7,15.8,11,6.5,2.2,6.1,10.8,28.4,F,jacksja02
79,Trayce Jackson-Davis,18,0,2024-25,24,GSW,19,18,0,1.2,124,108,0.7,0.5,0.181,1.1,1.4,2.5,0.4,19.2,9.7,21.1,15.4,18.3,0.7,3.9,11.4,18.2,F,jackstr02
80,LeBron James,21,0,2024-25,40,LAL,21,21,0,1.3,111,117,0.8,0.5,0.084,3.8,-0.8,3,0.9,20.1,3.1,23,13.1,42.7,0.9,1.3,17.4,29.3,F-G,jamesle01
81,Cameron Johnson,21,0,2024-25,28,BRK,21,21,0,2.3,131,119,2,0.3,0.161,4.6,-0.4,4.2,1.1,18.7,2.7,13,7.7,15,1.2,1.3,5.5,20.1,F,johnsca02
82,Jalen Johnson,21,0,2024-25,23,ATL,21,21,0,1.5,111,113,0.7,0.8,0.096,1,0.7,1.7,0.7,17.8,4.9,23.9,14.3,22.6,1.7,3,15.9,22.7,F,johnsja05
83,Nikola Jokić,15,0,2024-25,29,DEN,15,15,0,3.5,132,111,2.8,0.7,0.301,10.8,2.9,13.7,2.2,32.4,12.3,26.1,19.3,47.7,1.9,2.1,14.2,29.8,C-F,jokicni01
84,Derrick Jones Jr.,22,0,2024-25,27,LAC,22,22,0,1.3,114,110,0.5,0.8,0.111,-1.5,0.9,-0.6,0.2,12.5,5.7,9.8,7.7,5.3,2.5,0.7,12,16,F,jonesde02
85,Tyus Jones,19,0,2024-25,28,PHO,19,19,0,1.7,130,119,1.5,0.2,0.135,1.7,-0.8,0.9,0.4,15.6,2.4,7,4.7,32.3,1.7,0.3,10.1,14.8,G,jonesty01
86,Walker Kessler,14,0,2024-25,23,UTA,14,14,0,1.3,133,113,0.9,0.4,0.163,0.9,2,2.9,0.5,21,14.8,25.7,20.3,7.9,1,9.5,16.3,12.9,C,kesslwa01
87,Kyle Kuzma,12,0,2024-25,29,WAS,12,12,0,-0.7,90,122,-0.7,0,-0.105,-3.6,-2.9,-6.5,-0.4,9.8,2.6,19.2,10.9,11.6,0.7,0.8,12.9,28.3,F,kuzmaky01
88,Zach LaVine,19,0,2024-25,29,CHI,19,19,0,1.1,115,120,0.9,0.2,0.083,2,-1.7,0.3,0.4,17.2,0.7,12.7,6.8,18.5,1.1,0.8,13.1,24.5,G-F,lavinza01
89,Damian Lillard,16,0,2024-25,34,MIL,16,16,0,2.3,124,116,1.9,0.4,0.192,5.1,-1,4.1,0.9,23,1.9,11.3,6.7,33.8,1.3,0.6,11.5,29.2,G,lillada01
90,Brook Lopez,19,0,2024-25,36,MIL,19,19,0,1.5,116,111,0.6,0.8,0.113,0.1,1.4,1.6,0.6,15,4,12.2,8.2,7.9,1.9,6.8,10.3,15.7,C,lopezbr01
91,Kyle Lowry,10,0,2024-25,38,PHI,13,10,0,0.6,120,114,0.4,0.3,0.097,-1.8,1.6,-0.2,0.1,11.5,2,9.1,5.3,20.2,2.5,1.6,13.4,11.4,G,lowryky01
92,Terance Mann,11,0,2024-25,28,LAC,22,11,0,1.1,115,110,0.4,0.7,0.109,-2.4,1.5,-0.9,0.1,11,5.6,11.1,8.4,11.9,2.3,0.9,8.2,13.4,G-F,mannte01
93,Lauri Markkanen,16,0,2024-25,27,UTA,16,16,0,1.5,126,121,1.4,0.1,0.138,3.7,-1.4,2.3,0.6,18.6,5.8,16.6,11.2,11.5,1.1,0.4,8,22.5,F-C,markkla01
94,Caleb Martin,15,0,2024-25,29,PHI,16,15,0,0.2,101,115,-0.2,0.4,0.022,-2.9,-0.4,-3.3,-0.2,9.7,5.2,13.2,8.9,11.8,1.6,1.8,17.2,15.9,F,martica02
95,Bennedict Mathurin,16,0,2024-25,22,IND,21,16,0,1.3,117,119,1.1,0.2,0.091,0.7,-2.3,-1.6,0.1,16.1,4.5,19.5,12,8.2,1,0.7,12.2,22.4,G-F,mathube01
96,Tyrese Maxey,12,0,2024-25,24,PHI,12,12,0,0.8,109,114,0.4,0.4,0.086,3,-0.1,2.8,0.5,18.9,0.5,10.4,5,24.3,2.7,0.9,7,31.7,G,maxeyty01
97,Jaden McDaniels,20,0,2024-25,24,MIN,20,20,0,0.9,106,111,0.1,0.8,0.068,-3,0.9,-2.1,0,9.9,4.7,9.3,7,9,1.9,2.6,10.8,15.5,F,mcdanja02
98,Brandon Miller,16,0,2024-25,22,CHO,16,16,0,0.6,105,113,0.1,0.6,0.056,1.1,-0.2,1,0.4,14.8,3.2,14.1,8.4,18.5,2.1,2.4,13.1,27.6,F-G,millebr02
99,Yves Missi,15,0,2024-25,20,NOP,21,15,0,1.1,120,117,0.7,0.3,0.1,-1.4,-1.1,-2.5,-0.1,17.5,14.8,19.6,17.1,8.5,1.4,4.7,14.4,15.3,C,missiyv01
100,Davion Mitchell,13,0,2024-25,26,TOR,21,13,0,0,101,119,-0.2,0.2,0.002,-4.2,-0.8,-5,-0.5,7.4,1.9,6.8,4.3,24.7,1.6,0.7,22.7,14.1,G,mitchda01
101,Donovan Mitchell,20,0,2024-25,28,CLE,20,20,0,1.9,115,112,1.1,0.7,0.142,3.1,-0.7,2.5,0.7,21.1,2.2,14.3,8.5,18.6,2.3,0.9,8.9,31.3,G,mitchdo01
102,Evan Mobley,20,0,2024-25,23,CLE,20,20,0,2.2,119,108,1.2,1,0.169,1,0.9,1.9,0.6,20.9,8.5,24,16.6,12.4,1.6,4.8,13.5,23,F-C,mobleev01
103,Ja Morant,11,0,2024-25,25,MEM,11,11,0,1.1,116,111,0.7,0.4,0.177,4.5,-0.5,4,0.5,22.3,1.8,14.2,8.2,48.6,1.4,1.2,16.9,32.4,G,moranja01
104,Jamal Murray,15,0,2024-25,27,DEN,15,15,0,0.9,112,117,0.6,0.4,0.082,-0.2,-1,-1.2,0.1,15,1.7,10.6,6.2,24.3,1.9,1.2,10.5,22.5,G,murraja01
105,Keegan Murray,21,0,2024-25,24,SAC,21,21,0,0.9,109,116,0.3,0.6,0.055,-2.2,-1.7,-3.9,-0.4,10.4,8.1,16.1,12.2,6,0.9,2,8.3,15.6,F,murrake02
106,Jusuf Nurkić,16,0,2024-25,30,PHO,16,16,0,0.2,96,109,-0.4,0.6,0.028,-4.1,0.1,-4,-0.2,12,8.5,37.3,23,7.8,1.9,2.4,21.5,19.7,C,nurkiju01
107,Isaac Okoro,12,0,2024-25,24,CLE,19,12,0,1.1,136,115,0.8,0.3,0.136,-0.2,0.6,0.4,0.2,11.8,5,7.3,6.2,9.9,1.7,1.9,6.2,10.6,G-F,okorois01
108,Kelly Oubre Jr.,15,0,2024-25,29,PHI,18,15,0,0.3,102,115,-0.1,0.5,0.03,-3.1,-0.7,-3.8,-0.2,11,5.4,14.2,9.4,7.2,1.8,1.8,10,19.8,F,oubreke01
109,Chris Paul,20,0,2024-25,39,SAS,20,20,0,2.1,130,113,1.6,0.6,0.18,2,0.5,2.6,0.7,17.6,1.4,11.5,6.7,41.3,2.3,0.8,17.3,15.8,G,paulch01
110,Jakob Poeltl,21,0,2024-25,29,TOR,21,21,0,1.9,119,112,1.1,0.8,0.136,0.2,0,0.3,0.4,19.5,14.4,25.8,20,11.3,1.6,3.8,14.5,19.6,C,poeltja01
111,Jordan Poole,16,0,2024-25,25,WAS,16,16,0,0.4,108,120,0.3,0.1,0.043,2,-1.2,0.8,0.3,17.7,0.9,7.2,4,27.2,2.9,1.5,16.2,29,G,poolejo01
112,Michael Porter Jr.,18,0,2024-25,26,DEN,18,18,0,1.6,121,117,1.1,0.4,0.116,1.7,-1.5,0.2,0.4,16,5,16.9,11.1,11.3,1,0.8,6.7,19.7,F,portemi01
113,Norman Powell,16,0,2024-25,31,LAC,16,16,0,1.7,119,112,1.1,0.6,0.154,4.3,-0.2,4,0.8,19.2,0.8,8.9,4.9,11.8,1.7,0.6,10.1,26.6,G,powelno01
114,Taurean Prince,19,0,2024-25,30,MIL,19,19,0,1.1,121,115,0.6,0.5,0.094,-1.2,-0.1,-1.4,0.1,11,2.9,14.2,8.7,8.5,1.5,0.5,15.2,11.6,F,princta02
115,Julius Randle,20,0,2024-25,30,MIN,20,20,0,2.1,118,113,1.4,0.8,0.152,1.7,-0.3,1.3,0.6,18.7,6.1,17.1,11.7,20,1.2,0.1,14.1,25.9,F-C,randlju01
116,Austin Reaves,19,0,2024-25,26,LAL,19,19,0,0.8,111,120,0.6,0.2,0.058,0,-1.8,-1.8,0,14.1,2.7,9.2,6,21.2,1.5,0.6,13.4,21.9,G,reaveau01
117,Zaccharie Risacher,20,0,2024-25,19,ATL,22,20,0,0.3,103,116,-0.1,0.4,0.024,-2.9,-1.2,-4.1,-0.3,11.2,4.9,10.4,7.7,7.8,1.7,3.1,9.3,21.1,F,risacza01
118,Terry Rozier,12,0,2024-25,30,MIA,17,12,0,0.4,105,116,0,0.4,0.041,-2.1,-1.5,-3.6,-0.2,11,2.1,11.1,6.6,16.8,1,1.2,12.7,19.8,G,roziete01
119,Domantas Sabonis,19,0,2024-25,28,SAC,19,19,0,3.1,129,113,2.3,0.8,0.212,4.4,1.1,5.5,1.3,23.3,10.5,29.7,20.3,26.9,1.1,1.3,19.6,21.7,C-F,sabondo01
120,Alex Sarr,18,0,2024-25,19,WAS,18,18,0,-0.1,98,118,-0.4,0.2,-0.013,-3.2,-0.9,-4.1,-0.3,11.8,7.7,16.5,12.1,11.6,1.3,6.2,10,19.9,F,sarral01
121,Dennis Schröder,20,0,2024-25,31,BRK,20,20,0,1.4,116,119,1.1,0.3,0.096,1.3,-1.1,0.2,0.4,16.3,0.7,10.3,5.3,31.2,1.7,0.6,13.3,24.1,G,schrode01
122,Alperen Sengun,21,0,2024-25,22,HOU,21,21,0,3,118,101,1.4,1.6,0.22,4.3,3.3,7.6,1.5,23.4,11.6,24.8,18.1,27.4,1.8,3.6,10.7,26,C-F,sengual01
