Player,GS,AS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
Gary Harris,38,0,2020-21,26,DENORL,39,38,0,1080,138,345,90,204,48,141,64,78,21,58,79,78,28,11,37,71,388,0.4,0.441,0.34,0.821,0.511,0.47,G,harriga01
Tobias Harris,62,0,2020-21,28,PHI,62,62,0,2014,473,924,391,716,82,208,182,204,62,357,419,220,55,51,107,119,1210,0.512,0.546,0.394,0.892,0.597,0.556,F,harrito02
Killian Hayes,18,0,2020-21,19,DET,26,18,0,670,71,201,51,129,20,72,14,17,6,63,69,138,27,10,83,57,176,0.353,0.395,0.278,0.824,0.422,0.403,G,hayeski01
Willy Hernangómez,12,0,2020-21,26,NOP,47,12,0,846,151,268,150,258,1,10,62,93,117,217,334,50,22,23,34,68,365,0.563,0.581,0.1,0.667,0.591,0.565,C,hernawi01
Tyler Herro,15,0,2020-21,21,MIA,54,15,0,1635,307,699,200,402,107,297,94,117,25,243,268,184,35,17,101,71,815,0.439,0.498,0.36,0.803,0.543,0.516,G,herroty01
Buddy Hield,71,0,2020-21,28,SAC,71,71,0,2433,403,992,121,271,282,721,88,104,29,305,334,257,63,30,130,175,1176,0.406,0.446,0.391,0.846,0.567,0.548,G-F,hieldbu01
George Hill,17,0,2020-21,34,OKCPHI,30,17,0,672,95,197,64,117,31,80,40,50,16,45,61,73,23,5,31,31,261,0.482,0.547,0.388,0.8,0.596,0.561,G,hillge01
Jrue Holiday,56,0,2020-21,30,MIL,59,56,0,1907,414,823,303,540,111,283,107,136,73,195,268,357,96,37,127,98,1046,0.503,0.561,0.392,0.787,0.592,0.57,G,holidjr01
Justin Holiday,52,0,2020-21,31,IND,72,52,0,2183,258,625,85,172,173,453,67,85,32,224,256,119,74,41,54,135,756,0.413,0.494,0.382,0.788,0.571,0.551,F,holidju01
Richaun Holmes,61,0,2020-21,27,SAC,61,61,0,1782,366,575,364,564,2,11,135,170,144,360,504,101,39,96,75,213,869,0.637,0.645,0.182,0.794,0.669,0.638,C-F,holmeri01
Al Horford,28,0,2020-21,34,OKC,28,28,0,782,162,360,106,208,56,152,18,22,29,159,188,94,25,26,29,48,398,0.45,0.51,0.368,0.818,0.538,0.528,C-F,horfoal01
Danuel House Jr.,23,0,2020-21,27,HOU,36,23,0,932,110,272,56,116,54,156,41,63,18,114,132,69,20,16,36,67,315,0.404,0.483,0.346,0.651,0.525,0.504,G,houseda01
Kevin Huerter,49,0,2020-21,22,ATL,69,49,0,2126,316,731,176,345,140,386,50,64,38,193,231,241,82,18,79,165,822,0.432,0.51,0.363,0.781,0.541,0.528,G,huertke01
De'Andre Hunter,19,0,2020-21,23,ATL,23,19,0,678,120,248,89,153,31,95,73,85,17,93,110,44,19,12,29,59,344,0.484,0.582,0.326,0.859,0.603,0.546,F,huntede01
Joe Ingles,30,0,2020-21,33,UTA,67,30,0,1867,275,562,92,156,183,406,76,90,27,217,244,318,45,12,117,120,809,0.489,0.59,0.451,0.844,0.672,0.652,F-G,inglejo01
Brandon Ingram,61,0,2020-21,23,NOP,61,61,0,2093,513,1101,370,726,143,375,281,320,34,265,299,296,42,36,154,124,1450,0.466,0.51,0.381,0.878,0.584,0.531,F,ingrabr01
Kyrie Irving,54,1,2020-21,28,BRK,54,54,1,1886,549,1086,397,708,152,378,201,218,52,205,257,324,76,37,130,140,1451,0.506,0.561,0.402,0.922,0.614,0.576,G,irvinky01
Josh Jackson,25,0,2020-21,23,DET,62,25,0,1560,296,707,219,450,77,257,159,218,57,197,254,143,53,47,142,178,828,0.419,0.487,0.3,0.729,0.516,0.473,F-G,jacksjo02
Reggie Jackson,43,0,2020-21,30,LAC,67,43,0,1544,263,585,141,303,122,282,67,82,24,168,192,205,41,7,74,127,715,0.45,0.465,0.433,0.817,0.576,0.554,G,jacksre01
LeBron James,45,1,2020-21,36,LAL,45,45,1,1504,422,823,318,538,104,285,178,255,29,317,346,350,48,25,168,70,1126,0.513,0.591,0.365,0.698,0.602,0.576,F-G,jamesle01
Cameron Johnson,11,0,2020-21,24,PHO,60,11,0,1437,203,483,86,148,117,335,50,59,33,166,199,86,37,16,40,85,573,0.42,0.581,0.349,0.847,0.563,0.541,F,johnsca02
James Johnson,12,0,2020-21,33,DALNOP,51,12,0,1043,146,327,115,207,31,120,45,76,32,145,177,98,42,42,55,120,368,0.446,0.556,0.258,0.592,0.51,0.494,F,johnsja01
Keldon Johnson,67,0,2020-21,21,SAS,69,67,0,1968,338,705,278,524,60,181,145,196,93,319,412,121,40,24,78,142,881,0.479,0.531,0.331,0.74,0.557,0.522,G,johnske04
Stanley Johnson,13,0,2020-21,24,TOR,61,13,0,1006,89,233,44,96,45,137,44,55,29,124,153,89,52,18,54,116,267,0.382,0.458,0.328,0.8,0.519,0.479,F,johnsst04
Nikola Jokić,72,1,2020-21,25,DEN,72,72,1,2488,732,1293,640,1056,92,237,342,394,205,575,780,599,95,48,222,192,1898,0.566,0.606,0.388,0.868,0.647,0.602,C-F,jokicni01
Damian Jones,10,0,2020-21,25,LALPHOSAC,39,10,0,547,70,103,69,98,1,5,42,58,36,85,121,29,11,29,26,77,183,0.68,0.704,0.2,0.724,0.712,0.684,F-C,jonesda03
Derrick Jones Jr.,43,0,2020-21,23,POR,58,43,0,1318,147,304,104,168,43,136,59,91,77,128,205,47,37,54,32,127,396,0.484,0.619,0.316,0.648,0.576,0.554,F,jonesde02
DeAndre Jordan,43,0,2020-21,32,BRK,57,43,0,1246,190,249,190,248,0,1,46,92,117,310,427,93,17,65,85,116,426,0.763,0.766,0,0.5,0.736,0.763,C,jordade01
Cory Joseph,13,0,2020-21,29,DETSAC,63,13,0,1446,200,426,155,294,45,132,72,88,35,124,159,213,61,18,79,139,517,0.469,0.527,0.341,0.818,0.556,0.522,G,josepco01
Frank Kaminsky,13,0,2020-21,27,PHO,47,13,0,715,121,257,90,172,31,85,37,60,36,152,188,79,14,17,22,70,310,0.471,0.523,0.365,0.617,0.547,0.531,F-C,kaminfr01
Luke Kennard,17,0,2020-21,24,LAC,63,17,0,1232,197,414,97,190,100,224,26,31,15,146,161,104,23,9,48,91,520,0.476,0.511,0.446,0.839,0.608,0.597,G,kennalu01
Maxi Kleber,40,0,2020-21,29,DAL,50,40,0,1341,116,275,29,63,87,212,34,37,47,213,260,68,24,35,30,105,353,0.422,0.46,0.41,0.919,0.606,0.58,F,klebima01
Furkan Korkmaz,11,0,2020-21,23,PHI,55,11,0,1062,170,424,69,155,101,269,60,82,17,96,113,82,49,9,46,64,501,0.401,0.445,0.375,0.732,0.544,0.52,G,korkmfu01
Kyle Kuzma,32,0,2020-21,25,LAL,68,32,0,1954,335,757,198,377,137,380,67,97,108,309,417,127,35,41,113,121,874,0.443,0.525,0.361,0.691,0.546,0.533,F,kuzmaky01
Zach LaVine,58,1,2020-21,25,CHI,58,58,1,2034,569,1123,369,646,200,477,253,298,36,253,289,282,46,27,203,138,1591,0.507,0.571,0.419,0.849,0.634,0.596,G-F,lavinza01
Jake Layman,11,0,2020-21,26,MIN,45,11,0,627,91,184,68,106,23,78,26,37,13,54,67,28,29,19,26,44,231,0.495,0.642,0.295,0.703,0.577,0.557,F,laymaja01
Alex Len,42,0,2020-21,27,TORWAS,64,42,0,979,171,278,163,253,8,25,73,116,78,182,260,49,20,64,55,127,423,0.615,0.644,0.32,0.629,0.643,0.629,C,lenal01
Kawhi Leonard,52,1,2020-21,29,LAC,52,52,1,1773,465,908,364,654,101,254,261,295,55,282,337,269,81,21,105,82,1292,0.512,0.557,0.398,0.885,0.622,0.568,F,leonaka01
Caris LeVert,39,0,2020-21,26,BRKIND,47,39,0,1486,359,814,275,556,84,258,146,180,33,181,214,245,66,30,102,105,948,0.441,0.495,0.326,0.811,0.531,0.493,G-F,leverca01
Damian Lillard,67,1,2020-21,30,POR,67,67,1,2398,602,1334,327,630,275,704,449,484,32,251,283,505,62,17,203,102,1928,0.451,0.519,0.391,0.928,0.623,0.554,G,lillada01
Kevon Looney,34,0,2020-21,24,GSW,61,34,0,1161,108,197,104,180,4,17,31,48,117,205,322,119,21,22,37,136,251,0.548,0.578,0.235,0.646,0.575,0.558,F-C,looneke01
Brook Lopez,70,0,2020-21,32,MIL,70,70,0,1902,322,640,227,359,95,281,120,142,104,243,347,50,40,103,64,149,859,0.503,0.632,0.338,0.845,0.611,0.577,C,lopezbr01
Kevin Love,25,0,2020-21,32,CLE,25,25,0,622,103,252,46,96,57,156,42,51,17,169,186,63,16,2,38,26,305,0.409,0.479,0.365,0.824,0.556,0.522,F-C,loveke01
Kyle Lowry,46,0,2020-21,34,TOR,46,46,0,1601,260,596,129,265,131,331,140,160,35,212,247,338,45,14,126,143,791,0.436,0.487,0.396,0.875,0.593,0.546,G,lowryky01
Théo Maledon,49,0,2020-21,19,OKC,65,49,0,1778,226,614,121,301,105,313,101,135,25,186,211,227,56,11,141,126,658,0.368,0.402,0.335,0.748,0.489,0.454,G,maledth01
Terance Mann,10,0,2020-21,24,LAC,67,10,0,1263,178,350,140,259,38,91,78,94,56,186,242,104,29,13,40,126,472,0.509,0.541,0.418,0.83,0.603,0.563,G-F,mannte01
Lauri Markkanen,26,0,2020-21,23,CHI,51,26,0,1317,250,521,131,225,119,296,76,92,35,233,268,45,26,15,52,75,695,0.48,0.582,0.402,0.826,0.619,0.594,F-C,markkla01
Naji Marshall,10,0,2020-21,23,NOP,32,10,0,700,82,209,53,126,29,83,53,75,15,133,148,88,26,10,38,58,246,0.392,0.421,0.349,0.707,0.508,0.462,F,marshna01
Cody Martin,10,0,2020-21,25,CHO,52,10,0,849,83,188,67,130,16,58,25,43,52,109,161,86,37,12,40,52,207,0.441,0.515,0.276,0.581,0.5,0.484,G-F,martico01
Garrison Mathews,24,0,2020-21,24,WAS,64,24,0,1038,97,237,21,39,76,198,84,95,16,71,87,26,29,7,10,106,354,0.409,0.538,0.384,0.884,0.635,0.57,G,mathega01
Wesley Matthews,10,0,2020-21,34,LAL,58,10,0,1130,89,252,23,55,66,197,35,41,20,73,93,54,38,17,26,80,279,0.353,0.418,0.335,0.854,0.517,0.484,G,matthwe02
CJ McCollum,47,0,2020-21,29,POR,47,47,0,1600,405,884,236,464,169,420,108,133,30,155,185,223,44,21,65,87,1087,0.458,0.509,0.402,0.812,0.577,0.554,G,mccolcj01
Jalen McDaniels,18,0,2020-21,23,CHO,47,18,0,904,133,284,98,179,35,105,45,64,45,124,169,53,28,19,45,95,346,0.468,0.547,0.333,0.703,0.554,0.53,F,mcdanja01
Jaden McDaniels,27,0,2020-21,20,MIN,63,27,0,1511,164,367,92,169,72,198,27,45,52,180,232,71,35,60,47,172,427,0.447,0.544,0.364,0.6,0.552,0.545,F,mcdanja02
Doug McDermott,29,0,2020-21,29,IND,66,29,0,1619,354,665,243,379,111,286,80,98,60,161,221,85,20,6,53,117,899,0.532,0.641,0.388,0.816,0.635,0.616,F,mcderdo01
Khris Middleton,68,0,2020-21,29,MIL,68,68,0,2269,511,1074,360,709,151,365,212,236,54,352,406,370,74,9,178,160,1385,0.476,0.508,0.414,0.898,0.588,0.546,F-G,middlkh01
Donovan Mitchell,53,1,2020-21,24,UTA,53,53,1,1771,478,1091,300,630,178,461,267,316,50,185,235,277,52,15,147,117,1401,0.438,0.476,0.386,0.845,0.569,0.52,G,mitchdo01
Ja Morant,63,0,2020-21,21,MEM,63,63,0,2053,430,957,357,716,73,241,271,372,59,193,252,465,57,13,203,87,1204,0.449,0.499,0.303,0.728,0.537,0.487,G,moranja01
Markieff Morris,27,0,2020-21,31,LAL,61,27,0,1200,153,378,88,169,65,209,36,50,48,218,266,73,22,19,54,105,407,0.405,0.521,0.311,0.72,0.509,0.491,F,morrima02
Marcus Morris,29,0,2020-21,31,LAC,57,29,0,1502,276,584,136,288,140,296,73,89,35,199,234,58,34,15,57,117,765,0.473,0.472,0.473,0.82,0.614,0.592,F,morrima03
Monte Morris,13,0,2020-21,25,DEN,47,13,0,1196,186,387,135,253,51,134,58,73,11,85,96,150,34,13,34,48,481,0.481,0.534,0.381,0.795,0.574,0.547,G,morrimo01
Dejounte Murray,67,0,2020-21,24,SAS,67,67,0,2139,441,974,378,775,63,199,106,134,58,415,473,363,101,7,117,135,1051,0.453,0.488,0.317,0.791,0.509,0.485,G,murrade01
Jamal Murray,48,0,2020-21,23,DEN,48,48,0,1704,378,792,249,476,129,316,133,153,37,157,194,231,64,13,108,95,1018,0.477,0.523,0.408,0.869,0.592,0.559,G,murraja01
Svi Mykhailiuk,14,0,2020-21,23,DETOKC,66,14,0,1324,208,506,103,192,105,314,38,50,24,139,163,110,51,12,88,63,559,0.411,0.536,0.334,0.76,0.529,0.515,G-F,mykhasv01
Larry Nance Jr.,27,0,2020-21,28,CLE,35,27,0,1091,128,272,87,158,41,114,30,49,54,181,235,107,61,17,55,72,327,0.471,0.551,0.36,0.612,0.557,0.546,F-C,nancela02
Raul Neto,22,0,2020-21,28,WAS,64,22,0,1403,209,447,145,283,64,164,75,85,28,128,156,146,73,6,53,109,557,0.468,0.512,0.39,0.882,0.575,0.539,G,netora01
Georges Niang,10,0,2020-21,27,UTA,72,10,0,1154,177,405,53,113,124,292,22,23,28,148,176,59,25,8,51,116,500,0.437,0.469,0.425,0.957,0.602,0.59,F,niangge01
Nerlens Noel,41,0,2020-21,26,NYK,64,41,0,1547,137,223,137,220,0,3,50,70,142,266,408,46,70,141,65,176,324,0.614,0.623,0,0.714,0.638,0.614,C-F,noelne01
Kendrick Nunn,44,0,2020-21,25,MIA,56,44,0,1650,319,658,197,338,122,320,56,60,21,158,179,148,52,14,80,108,816,0.485,0.583,0.381,0.933,0.596,0.578,G,nunnke01
Jusuf Nurkić,37,0,2020-21,26,POR,37,37,0,880,171,333,159,303,12,30,70,113,86,246,332,125,38,39,73,103,424,0.514,0.525,0.4,0.619,0.554,0.532,C,nurkiju01
Chuma Okeke,19,0,2020-21,22,ORL,45,19,0,1133,135,324,86,183,49,141,30,40,42,139,181,101,48,22,38,48,349,0.417,0.47,0.348,0.75,0.511,0.492,F,okekech01
Josh Okogie,37,0,2020-21,22,MIN,59,37,0,1197,102,254,73,146,29,108,83,108,63,93,156,63,54,28,43,123,316,0.402,0.5,0.269,0.769,0.524,0.459,G,okogijo01
Isaac Okoro,67,0,2020-21,20,CLE,67,67,0,2173,235,559,173,345,62,214,114,157,68,138,206,128,62,24,86,185,646,0.42,0.501,0.29,0.726,0.514,0.476,G-F,okorois01
Victor Oladipo,33,0,2020-21,28,HOUINDMIA,33,33,0,1080,235,576,157,337,78,239,104,138,12,148,160,151,46,14,83,81,652,0.408,0.466,0.326,0.754,0.512,0.476,G,oladivi01
Kelly Olynyk,62,0,2020-21,29,HOUMIA,70,62,0,1997,337,697,211,329,126,368,145,175,87,402,489,203,79,42,126,207,945,0.484,0.641,0.342,0.829,0.61,0.574,C-F,olynyke01
Royce O'Neale,71,0,2020-21,27,UTA,71,71,0,2241,175,394,68,116,107,278,39,46,88,397,485,181,57,32,83,182,496,0.444,0.586,0.385,0.848,0.599,0.58,F,onealro01
Cedi Osman,26,0,2020-21,25,CLE,59,26,0,1510,219,586,120,262,99,324,76,95,38,163,201,174,53,9,80,119,613,0.374,0.458,0.306,0.8,0.488,0.458,F,osmande01
Kelly Oubre Jr.,50,0,2020-21,25,GSW,55,50,0,1687,318,724,228,439,90,285,123,177,82,247,329,73,57,42,70,121,849,0.439,0.519,0.316,0.695,0.529,0.501,F,oubreke01
Chris Paul,70,1,2020-21,35,PHO,70,70,1,2199,439,879,337,621,102,258,169,181,25,287,312,622,99,19,156,166,1149,0.499,0.543,0.395,0.934,0.599,0.557,G,paulch01
Elfrid Payton,63,0,2020-21,26,NYK,63,63,0,1484,269,622,241,524,28,98,73,107,64,152,216,203,47,9,103,116,639,0.432,0.46,0.286,0.682,0.478,0.455,G,paytoel01
Mason Plumlee,56,0,2020-21,30,DET,56,56,0,1499,234,381,234,374,0,7,113,169,145,374,519,202,43,50,105,186,581,0.614,0.626,0,0.669,0.638,0.614,C-F,plumlma01
Jakob Poeltl,51,0,2020-21,25,SAS,69,51,0,1845,265,430,265,430,0,0,63,124,219,328,547,134,47,123,83,172,593,0.616,0.616,,0.508,0.612,0.616,C,poeltja01
Aleksej Pokusevski,28,0,2020-21,19,OKC,45,28,0,1090,139,408,81,201,58,207,31,42,30,182,212,97,20,42,99,58,367,0.341,0.403,0.28,0.738,0.43,0.412,F,pokusal01
Kevin Porter Jr.,23,0,2020-21,20,HOU,26,23,0,835,156,367,106,206,50,161,69,94,20,79,99,164,19,8,91,61,431,0.425,0.515,0.311,0.734,0.528,0.493,G,porteke02
Michael Porter Jr.,54,0,2020-21,22,DEN,61,54,0,1912,443,817,273,435,170,382,106,134,91,354,445,70,40,54,77,126,1162,0.542,0.628,0.445,0.791,0.663,0.646,F,portemi01
Kristaps Porziņģis,43,0,2020-21,25,DAL,43,43,0,1327,325,683,228,425,97,258,118,138,82,299,381,68,20,58,51,115,865,0.476,0.536,0.376,0.855,0.582,0.547,F-C,porzikr01
Dwight Powell,19,0,2020-21,29,DAL,58,19,0,966,120,194,115,173,5,21,97,124,80,154,234,63,36,30,40,135,342,0.619,0.665,0.238,0.782,0.688,0.631,F-C,poweldw01
Norman Powell,58,0,2020-21,27,PORTOR,69,58,0,2205,438,918,267,502,171,416,236,271,42,173,215,129,82,18,119,160,1283,0.477,0.532,0.411,0.871,0.618,0.57,G,powelno01
Taurean Prince,10,0,2020-21,26,BRKCLE,41,10,0,905,131,327,69,172,62,155,65,76,19,123,142,76,28,23,47,75,389,0.401,0.401,0.4,0.855,0.54,0.495,F,princta02
Julius Randle,71,1,2020-21,26,NYK,71,71,1,2667,602,1321,442,932,160,389,348,429,84,639,723,427,64,18,241,225,1712,0.456,0.474,0.411,0.811,0.567,0.516,F-C,randlju01
Cam Reddish,21,0,2020-21,21,ATL,26,21,0,750,96,263,63,137,33,126,67,82,22,82,104,35,33,9,34,68,292,0.365,0.46,0.262,0.817,0.488,0.428,F,reddica01
Naz Reid,15,0,2020-21,21,MIN,70,15,0,1347,304,581,243,407,61,174,115,166,82,240,322,72,34,76,69,179,784,0.523,0.597,0.351,0.693,0.599,0.576,F,reidna01
Josh Richardson,56,0,2020-21,27,DAL,59,56,0,1790,264,618,176,351,88,267,99,108,51,144,195,153,61,24,79,130,715,0.427,0.501,0.33,0.917,0.537,0.498,G,richajo01
Duncan Robinson,72,0,2020-21,26,MIA,72,72,0,2262,315,717,65,104,250,613,62,75,7,243,250,127,43,20,81,181,942,0.439,0.625,0.408,0.827,0.628,0.614,G-F,robindu01
Mitchell Robinson,29,0,2020-21,22,NYK,31,29,0,853,115,176,115,176,0,0,26,53,113,139,252,17,35,45,26,86,256,0.653,0.653,,0.491,0.642,0.653,C,robinmi01
Isaiah Roby,34,0,2020-21,22,OKC,61,34,0,1425,207,429,175,320,32,109,87,117,89,252,341,107,52,37,113,162,533,0.483,0.547,0.294,0.744,0.555,0.52,F,robyis01
Terry Rozier,69,0,2020-21,26,CHO,69,69,0,2383,510,1134,288,563,222,571,165,202,47,255,302,293,87,26,128,119,1407,0.45,0.512,0.389,0.817,0.575,0.548,G,roziete01
D'Angelo Russell,26,0,2020-21,24,MIN,42,26,0,1196,281,652,161,342,120,310,114,149,16,95,111,244,45,18,112,68,796,0.431,0.471,0.387,0.765,0.555,0.523,G,russeda01
Domantas Sabonis,62,1,2020-21,24,IND,62,62,1,2231,484,904,432,742,52,162,240,328,150,592,742,415,76,33,213,203,1260,0.535,0.582,0.321,0.732,0.601,0.564,C-F,sabondo01
Dennis Schröder,61,0,2020-21,27,LAL,61,61,0,1956,332,760,261,548,71,212,206,243,30,181,211,351,70,13,163,159,941,0.437,0.476,0.335,0.848,0.543,0.484,G,schrode01
Collin Sexton,60,0,2020-21,22,CLE,60,60,0,2115,525,1105,427,841,98,264,312,383,58,129,187,262,62,10,167,157,1460,0.475,0.508,0.371,0.815,0.573,0.519,G,sextoco01
Landry Shamet,12,0,2020-21,23,BRK,61,12,0,1403,186,456,57,123,129,333,66,78,11,101,112,99,31,10,48,93,567,0.408,0.463,0.387,0.846,0.578,0.549,G,shamela01
Pascal Siakam,56,0,2020-21,26,TOR,56,56,0,2006,437,961,364,715,73,246,249,301,95,310,405,250,64,37,130,174,1196,0.455,0.509,0.297,0.827,0.547,0.493,F-C,siakapa01
Ben Simmons,58,1,2020-21,24,PHI,58,58,1,1877,325,583,322,573,3,10,176,287,93,324,417,401,93,35,173,171,829,0.557,0.562,0.3,0.613,0.584,0.56,G-F,simmobe01
Marcus Smart,45,0,2020-21,26,BOS,48,45,0,1581,203,510,110,228,93,282,128,162,36,131,167,273,72,23,96,126,627,0.398,0.482,0.33,0.79,0.539,0.489,G,smartma01
Isaiah Stewart,14,0,2020-21,19,DET,68,14,0,1455,226,409,205,346,21,63,64,92,159,294,453,59,39,86,67,184,537,0.553,0.592,0.333,0.696,0.597,0.578,F-C,stewais01
Edmond Sumner,24,0,2020-21,25,IND,53,24,0,861,148,282,113,194,35,88,68,83,18,76,94,49,33,10,51,88,399,0.525,0.582,0.398,0.819,0.626,0.587,G,sumneed01
Jae'Sean Tate,58,0,2020-21,25,HOU,70,58,0,2043,316,625,256,430,60,195,102,147,132,242,374,178,85,36,98,222,794,0.506,0.595,0.308,0.694,0.576,0.554,F,tateja01
Jayson Tatum,64,1,2020-21,22,BOS,64,64,1,2290,605,1318,418,833,187,485,295,340,50,422,472,276,75,31,171,122,1692,0.459,0.502,0.386,0.868,0.576,0.53,F,tatumja01
Garrett Temple,25,0,2020-21,34,CHI,56,25,0,1528,158,381,91,181,67,200,40,50,29,131,160,124,43,30,58,126,423,0.415,0.503,0.335,0.8,0.525,0.503,G,templga01
Daniel Theis,51,0,2020-21,28,BOSCHI,65,51,0,1601,252,466,203,314,49,152,74,110,93,263,356,108,41,57,66,167,627,0.541,0.646,0.322,0.673,0.609,0.593,C,theisda01
Tristan Thompson,43,0,2020-21,29,BOS,54,43,0,1287,169,326,169,323,0,3,71,120,169,270,439,67,24,33,62,119,409,0.518,0.523,0,0.592,0.54,0.518,F-C,thomptr01
Xavier Tillman Sr.,12,0,2020-21,22,MEM,59,12,0,1085,167,299,145,234,22,65,34,53,74,182,256,75,44,33,45,116,390,0.559,0.62,0.338,0.642,0.605,0.595,F,tillmxa01
Juan Toscano-Anderson,16,0,2020-21,27,GSW,53,16,0,1107,121,209,84,117,37,92,22,31,29,205,234,150,41,26,61,111,301,0.579,0.718,0.402,0.71,0.676,0.667,F,toscaju01
Karl-Anthony Towns,50,0,2020-21,25,MIN,50,50,0,1689,425,875,303,560,122,315,267,311,133,396,529,225,39,57,160,186,1239,0.486,0.541,0.387,0.859,0.612,0.555,C-F,townska01
Gary Trent Jr.,38,0,2020-21,22,PORTOR,58,38,0,1802,320,785,155,356,165,429,83,106,27,125,152,80,56,10,43,92,888,0.408,0.435,0.385,0.783,0.534,0.513,G,trentga02
P.J. Tucker,33,0,2020-21,35,HOUMIL,52,33,0,1356,66,177,26,58,40,119,21,28,51,153,204,61,39,20,40,125,193,0.373,0.448,0.336,0.75,0.51,0.486,F,tuckepj01
Myles Turner,47,0,2020-21,24,IND,47,47,0,1455,206,432,137,226,69,206,111,142,63,243,306,48,40,159,67,165,592,0.477,0.606,0.335,0.782,0.599,0.557,C-F,turnemy01
Jonas Valančiūnas,61,0,2020-21,28,MEM,62,61,0,1755,440,743,419,686,21,57,157,203,253,523,776,112,35,57,100,179,1058,0.592,0.611,0.368,0.773,0.636,0.606,C,valanjo01
Jarred Vanderbilt,30,0,2020-21,21,MIN,64,30,0,1139,143,236,142,231,1,5,57,102,118,250,368,76,64,46,53,123,344,0.606,0.615,0.2,0.559,0.612,0.608,F,vandeja01
Fred VanVleet,52,0,2020-21,26,TOR,52,52,0,1899,338,870,164,394,174,476,169,191,32,188,220,328,87,37,95,119,1019,0.389,0.416,0.366,0.885,0.534,0.489,G,vanvlfr01
Nikola Vučević,70,1,2020-21,30,CHIORL,70,70,1,2348,666,1396,490,956,176,440,131,156,146,671,817,269,65,48,126,137,1639,0.477,0.513,0.4,0.84,0.56,0.54,C,vucevni01
Dean Wade,19,0,2020-21,24,CLE,63,19,0,1212,134,311,56,98,78,213,30,39,38,177,215,74,35,21,30,78,376,0.431,0.571,0.366,0.769,0.573,0.556,F,wadede01
Moritz Wagner,24,0,2020-21,23,BOSORLWAS,45,24,0,722,104,229,73,138,31,91,71,87,27,119,146,50,26,18,43,108,310,0.454,0.529,0.341,0.816,0.58,0.522,F-C,wagnemo01
Lonnie Walker IV,38,0,2020-21,22,SAS,60,38,0,1522,256,609,156,327,100,282,57,70,14,141,155,101,29,15,65,101,669,0.42,0.477,0.355,0.814,0.523,0.502,G,walkelo01
John Wall,40,0,2020-21,30,HOU,40,40,0,1288,293,726,214,477,79,249,158,211,17,112,129,275,42,31,141,46,823,0.404,0.449,0.317,0.749,0.503,0.458,G,walljo01
P.J. Washington,61,0,2020-21,22,CHO,64,61,0,1954,302,686,190,396,112,290,108,145,93,325,418,161,69,79,128,171,824,0.44,0.48,0.386,0.745,0.549,0.522,F,washipj01
Russell Westbrook,65,0,2020-21,32,WAS,65,65,0,2369,544,1238,458,965,86,273,271,413,109,641,750,763,89,23,312,190,1445,0.439,0.475,0.315,0.656,0.509,0.474,G,westbru01
Coby White,54,0,2020-21,20,CHI,69,54,0,2156,375,902,212,448,163,454,128,142,28,256,284,328,38,15,156,179,1041,0.416,0.473,0.359,0.901,0.54,0.506,G,whiteco01
Derrick White,32,0,2020-21,26,SAS,36,32,0,1064,186,453,102,210,84,243,97,114,13,94,107,127,26,36,45,91,553,0.411,0.486,0.346,0.851,0.55,0.503,G,whitede01
Andrew Wiggins,71,0,2020-21,25,GSW,71,71,0,2364,505,1058,365,690,140,368,170,238,82,265,347,167,67,70,126,159,1320,0.477,0.529,0.38,0.714,0.568,0.543,F-G,wiggian01
Kenrich Williams,13,0,2020-21,26,OKC,66,13,0,1426,219,411,167,294,52,117,36,63,84,189,273,152,55,17,76,143,526,0.533,0.568,0.444,0.571,0.599,0.596,G-F,willike04
Patrick Williams,71,0,2020-21,19,CHI,71,71,0,1983,255,528,201,390,54,138,91,125,66,261,327,99,64,46,98,126,655,0.483,0.515,0.391,0.728,0.562,0.534,F,willipa01
Robert Williams,13,0,2020-21,23,BOS,52,13,0,985,186,258,186,256,0,2,45,73,133,225,358,94,43,91,52,105,417,0.721,0.727,0,0.616,0.719,0.721,C-F,williro04
Zion Williamson,61,1,2020-21,20,NOP,61,61,1,2026,634,1037,624,1003,10,34,369,529,167,274,441,226,57,39,167,135,1647,0.611,0.622,0.294,0.698,0.649,0.616,F-C,willizi01
James Wiseman,27,0,2020-21,19,GSW,39,27,0,836,191,368,179,330,12,38,54,86,55,171,226,26,11,36,60,121,448,0.519,0.542,0.316,0.628,0.552,0.535,C,wisemja01
Christian Wood,41,0,2020-21,25,HOU,41,41,0,1326,329,640,252,434,77,206,125,198,76,319,395,71,34,48,80,88,860,0.514,0.581,0.374,0.631,0.591,0.574,F,woodch01
Delon Wright,39,0,2020-21,28,DETSAC,63,39,0,1748,240,518,176,346,64,172,101,126,65,204,269,278,101,30,83,75,645,0.463,0.509,0.372,0.802,0.562,0.525,G,wrighde01
Thaddeus Young,23,0,2020-21,32,CHI,68,23,0,1652,370,662,358,617,12,45,71,113,168,255,423,291,74,40,137,152,823,0.559,0.58,0.267,0.628,0.578,0.568,F,youngth01
