Player,GS,AS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
Luguentz Dort,52,0,2020-21,21,OKC,52,52,0,1543,247,639,134,310,113,329,122,164,38,151,189,88,45,19,79,134,729,0.387,0.432,0.343,0.744,0.513,0.475,G,dortlu01
Sekou Doumbouya,11,0,2020-21,20,DET,56,11,0,869,107,282,81,167,26,115,45,64,39,104,143,47,24,9,44,94,285,0.379,0.485,0.226,0.703,0.459,0.426,F,doumbse01
Andre Drummond,46,0,2020-21,27,CLELAL,46,46,0,1242,282,572,282,564,0,8,123,205,166,385,551,94,63,49,124,149,687,0.493,0.5,0,0.6,0.519,0.493,C,drumman01
Kevin Durant,32,1,2020-21,32,BRK,35,32,1,1157,324,603,239,414,85,189,210,238,13,234,247,195,25,45,120,70,943,0.537,0.577,0.45,0.882,0.666,0.608,F-G,duranke01
Anthony Edwards,55,0,2020-21,19,MIN,72,55,0,2314,505,1211,334,691,171,520,211,272,59,277,336,211,82,36,160,129,1392,0.417,0.483,0.329,0.776,0.523,0.488,G-F,edwaran01
Joel Embiid,51,1,2020-21,26,PHI,51,51,1,1585,461,899,403,745,58,154,471,548,113,426,539,145,50,69,159,123,1451,0.513,0.541,0.377,0.859,0.636,0.545,C,embiijo01
Dorian Finney-Smith,60,0,2020-21,27,DAL,60,60,0,1921,220,466,101,164,119,302,31,41,98,228,326,102,52,25,48,138,590,0.472,0.616,0.394,0.756,0.609,0.6,F,finnedo01
Malachi Flynn,14,0,2020-21,22,TOR,47,14,0,928,127,340,73,172,54,168,45,56,10,106,116,137,38,7,43,68,353,0.374,0.424,0.321,0.804,0.484,0.453,G,flynnma01
Bryn Forbes,10,0,2020-21,27,MIL,70,10,0,1354,250,529,96,188,154,341,47,61,11,101,112,45,24,1,44,77,701,0.473,0.511,0.452,0.77,0.631,0.618,G,forbebr01
Evan Fournier,36,0,2020-21,28,BOSORL,42,36,0,1259,247,541,130,258,117,283,108,137,10,118,128,144,47,19,73,96,719,0.457,0.504,0.413,0.788,0.598,0.565,G-F,fournev01
De'Aaron Fox,58,0,2020-21,23,SAC,58,58,0,2036,529,1110,426,790,103,320,300,417,33,170,203,417,87,27,174,170,1461,0.477,0.539,0.322,0.719,0.565,0.523,G,foxde01
Daniel Gafford,11,0,2020-21,22,CHIWAS,54,11,0,791,154,225,154,225,0,0,72,108,94,137,231,29,26,75,41,98,380,0.684,0.684,,0.667,0.697,0.684,C-F,gaffoda01
Darius Garland,50,0,2020-21,21,CLE,54,50,0,1790,362,802,257,536,105,266,112,132,23,106,129,329,66,6,164,110,941,0.451,0.479,0.395,0.848,0.547,0.517,G,garlada01
Paul George,54,1,2020-21,30,LAC,54,54,1,1821,445,953,274,537,171,416,198,228,45,314,359,280,62,24,179,132,1259,0.467,0.51,0.411,0.868,0.598,0.557,F-G,georgpa01
