Player,AS_x,Season,Age,Team_x,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Rk_y,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional_y
Khris Middleton,0,2023-24,32,MIL,55,55,1487,317,643,223,396,94,247,100,120,40,217,257,292,51,15,127,141,828,0.493,0.563,0.381,0.833,0.595,0.566,319,3.4,115,116,1.9,1.4,0.109,1.1,0,1.1,1.2,17,3,15.7,9.5,28.9,1.6,0.9,15.4,23.9,F-G,middlkh01
Brandon Miller,0,2023-24,21,CHO,74,68,2383,476,1083,292,590,184,493,143,173,60,255,315,175,66,42,132,184,1279,0.44,0.495,0.373,0.827,0.552,0.524,320,0.8,105,121,-0.3,1,0.015,-0.9,-1.6,-2.6,-0.3,13,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,F-G,millebr02
Donovan Mitchell,1,2023-24,27,CLE,55,55,1942,503,1089,321,595,182,494,275,318,46,234,280,333,101,30,154,118,1463,0.462,0.539,0.368,0.865,0.595,0.545,321,6.4,117,111,3.6,2.9,0.159,4.6,1.2,5.8,3.9,22.1,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,G,mitchdo01
Evan Mobley,0,2023-24,22,CLE,50,50,1532,320,552,298,493,22,59,123,171,111,357,468,160,45,72,90,134,785,0.58,0.604,0.373,0.719,0.626,0.6,322,5.5,122,109,2.8,2.7,0.174,0.9,2,2.9,1.9,20.1,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,F-C,mobleev01
Trey Murphy III,0,2023-24,23,NOP,57,23,1690,275,621,106,176,169,445,123,151,42,238,280,124,51,28,34,70,842,0.443,0.602,0.38,0.815,0.612,0.579,323,5.4,127,114,3.4,2,0.154,2.5,0,2.5,1.9,16.3,2.8,15.5,9.2,10.2,1.5,1.6,4.7,18.6,F,murphtr02
Dejounte Murray,0,2023-24,27,ATL,78,78,2783,672,1463,471,909,201,554,208,262,62,354,416,502,111,24,201,138,1753,0.459,0.518,0.363,0.794,0.555,0.528,324,4.9,114,119,3.3,1.6,0.084,2.3,-0.6,1.7,2.6,17.7,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,G,murrade01
Jamal Murray,0,2023-24,26,DEN,59,59,1861,474,986,329,645,145,341,157,184,42,200,242,384,57,39,125,104,1250,0.481,0.51,0.425,0.853,0.586,0.554,325,5.9,119,114,3.8,2.1,0.153,4.5,-0.4,4.1,2.9,20.7,2.6,11.6,7.2,31.2,1.5,1.8,10.5,27.9,G,murraja01
Keegan Murray,0,2023-24,23,SAC,77,77,2588,443,975,260,464,183,511,103,124,106,314,420,129,79,59,64,205,1172,0.454,0.56,0.358,0.831,0.569,0.548,326,5.2,117,116,2.6,2.6,0.096,-0.4,-0.5,-0.9,0.8,13.3,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,F,murrake02
Kris Murray,0,2023-24,23,POR,62,29,1348,145,366,96,183,49,183,37,56,85,139,224,80,53,21,55,92,376,0.396,0.525,0.268,0.661,0.481,0.463,327,0.7,103,118,-0.4,1,0.024,-3.5,-0.2,-3.6,-0.6,9,6.7,12.3,9.3,8.4,1.9,1.4,12.3,14.1,F,murrakr01
Andrew Nembhard,0,2023-24,24,IND,68,47,1697,260,522,199,351,61,171,45,56,36,105,141,280,63,6,101,143,626,0.498,0.567,0.357,0.804,0.573,0.557,328,2,114,121,1.3,0.7,0.057,-1.6,-0.5,-2.2,-0.1,11.3,2.4,7,4.7,20,1.8,0.3,15.6,16,G,nembhan01
Aaron Nesmith,0,2023-24,24,IND,72,47,1995,315,635,175,301,140,334,107,137,63,212,275,108,65,49,64,241,877,0.496,0.581,0.419,0.781,0.631,0.606,329,4.1,123,119,2.8,1.3,0.098,-0.3,-0.2,-0.5,0.8,12.8,3.6,12,7.8,6.6,1.5,2,8.4,16,G-F,nesmiaa01
Georges Niang,0,2023-24,30,CLE,82,10,1831,284,632,135,236,149,396,51,60,22,256,278,98,30,18,72,192,768,0.449,0.572,0.376,0.85,0.583,0.567,330,2.4,109,115,0.5,2,0.064,-2.5,-0.4,-2.9,-0.4,9.9,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,F,niangge01
Jusuf Nurkić,0,2023-24,29,PHO,76,76,2078,320,627,298,537,22,90,167,261,224,613,837,301,81,80,175,254,829,0.51,0.555,0.244,0.64,0.559,0.528,331,5.8,114,108,2,3.8,0.133,-1,2.1,1.1,1.6,17.4,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,C,nurkiju01
Josh Okogie,0,2023-24,25,PHO,60,11,960,86,206,57,112,29,94,76,102,74,80,154,64,48,24,36,68,277,0.417,0.509,0.309,0.745,0.552,0.488,332,2.1,119,114,1,1.1,0.104,-1.3,0.8,-0.5,0.4,12,9.2,9,9.1,8.4,2.4,2.2,12.5,13,G,okogijo01
Isaac Okoro,0,2023-24,23,CLE,69,42,1887,235,480,151,265,84,215,93,137,67,139,206,132,57,34,54,140,647,0.49,0.57,0.391,0.679,0.599,0.577,333,4.2,121,115,2.1,2,0.106,-1.8,0.7,-1.1,0.4,11.4,4,8.2,6.1,9.5,1.5,1.6,9.1,13.9,G-F,okorois01
Kelly Olynyk,0,2023-24,32,TORUTA,78,27,1759,276,497,216,342,60,155,150,180,108,303,411,347,74,30,152,230,762,0.555,0.632,0.387,0.833,0.661,0.616,334,4.9,124,118,3.5,1.4,0.133,0.7,1.1,1.8,1.7,17.4,6.7,19,12.9,27.6,2,1.5,20.9,17.5,C-F,olynyke01
Royce O'Neale,0,2023-24,30,BRKPHO,79,14,1954,214,539,58,117,156,422,24,35,60,317,377,219,59,44,73,174,608,0.397,0.496,0.37,0.686,0.548,0.542,335,3.4,115,115,1.3,2.1,0.085,-1,1,0,1,11.1,3.4,17.9,10.7,15,1.5,2,11.6,13.9,F,onealro01
Kelly Oubre Jr.,0,2023-24,28,PHI,68,52,2055,387,878,286,553,101,325,174,232,94,247,341,101,77,47,87,194,1049,0.441,0.517,0.311,0.75,0.535,0.498,336,3,109,114,0.6,2.4,0.07,-1.5,-0.7,-2.3,-0.1,13.5,5,13.5,9.2,7.3,1.8,2.1,8.2,22.4,F,oubreke01
Chris Paul,0,2023-24,38,GSW,58,18,1531,206,467,128,257,78,210,43,52,18,207,225,393,70,6,76,108,533,0.441,0.498,0.371,0.827,0.544,0.525,337,4.3,124,115,2.6,1.7,0.136,-0.2,1.2,1,1.2,14.7,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,G,paulch01
Cameron Payne,0,2023-24,29,MILPHI,78,10,1304,208,481,104,214,104,267,58,67,21,96,117,205,42,11,66,126,578,0.432,0.486,0.39,0.866,0.566,0.541,338,2.4,116,118,1.4,1,0.089,-0.5,-0.6,-1.1,0.3,12.8,1.8,8.1,4.9,21.9,1.6,0.8,11.4,19.1,G,payneca01
