Player,AS_x,Season,Age,Team_x,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Rk_y,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional_y
Donovan Mitchell,1,2020-21,24,UTA,53,53,1771,478,1091,300,630,178,461,267,316,50,185,235,277,52,15,147,117,1401,0.438,0.476,0.386,0.845,0.569,0.52,1064,6.2,115,110,3.9,2.2,0.167,4.6,-0.2,4.3,2.8,21.3,3.1,10.6,7,26.7,1.4,0.7,10.7,33.5,G,mitchdo01
Ja Morant,0,2020-21,21,MEM,63,63,2053,430,957,357,716,73,241,271,372,59,193,252,465,57,13,203,87,1204,0.449,0.499,0.303,0.728,0.537,0.487,1065,3.2,108,115,1.6,1.6,0.074,1.3,-1.6,-0.4,0.8,16.7,3,10.1,6.5,33.5,1.3,0.6,15.3,27.2,G,moranja01
Markieff Morris,0,2020-21,31,LAL,61,27,1200,153,378,88,169,65,209,36,50,48,218,266,73,22,19,54,105,407,0.405,0.521,0.311,0.72,0.509,0.491,1066,1.6,101,108,-0.2,1.8,0.062,-2.9,0.3,-2.6,-0.2,9.3,4.5,20.3,12.5,8.6,0.9,1.4,11.9,16.4,F,morrima02
Marcus Morris,0,2020-21,31,LAC,57,29,1502,276,584,136,288,140,296,73,89,35,199,234,58,34,15,57,117,765,0.473,0.472,0.473,0.82,0.614,0.592,1067,3.6,117,113,2.1,1.5,0.115,0.9,-0.8,0,0.8,14.5,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,F,morrima03
Monte Morris,0,2020-21,25,DEN,47,13,1196,186,387,135,253,51,134,58,73,11,85,96,150,34,13,34,48,481,0.481,0.534,0.381,0.795,0.574,0.547,1068,2.9,121,115,2,0.8,0.115,0.1,-0.5,-0.3,0.5,14,1,8,4.6,17.1,1.4,1.1,7.5,16.5,G,morrimo01
Dejounte Murray,0,2020-21,24,SAS,67,67,2139,441,974,378,775,63,199,106,134,58,415,473,363,101,7,117,135,1051,0.453,0.488,0.317,0.791,0.509,0.485,1069,3.3,106,111,0.7,2.6,0.074,-0.2,1,0.8,1.5,16.5,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,G,murrade01
Jamal Murray,0,2020-21,23,DEN,48,48,1704,378,792,249,476,129,316,133,153,37,157,194,231,64,13,108,95,1018,0.477,0.523,0.408,0.869,0.592,0.559,1070,4.6,116,114,3.1,1.5,0.129,2.7,-0.7,2,1.7,18.3,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,G,murraja01
Svi Mykhailiuk,0,2020-21,23,DETOKC,66,14,1324,208,506,103,192,105,314,38,50,24,139,163,110,51,12,88,63,559,0.411,0.536,0.334,0.76,0.529,0.515,1071,0.3,98,114,-0.8,1.1,0.01,-1.9,-0.7,-2.6,-0.2,10.4,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20,G-F,mykhasv01
Larry Nance Jr.,0,2020-21,28,CLE,35,27,1091,128,272,87,158,41,114,30,49,54,181,235,107,61,17,55,72,327,0.471,0.551,0.36,0.612,0.557,0.546,1072,1.8,109,111,0.5,1.3,0.08,-1.4,1.8,0.4,0.7,13.2,5.4,19,12.1,14.4,2.8,1.4,15.8,13.9,F-C,nancela02
Raul Neto,0,2020-21,28,WAS,64,22,1403,209,447,145,283,64,164,75,85,28,128,156,146,73,6,53,109,557,0.468,0.512,0.39,0.882,0.575,0.539,1073,2.8,115,113,1.5,1.3,0.097,-1.4,0.9,-0.6,0.5,13,2.1,9.6,5.9,14,2.4,0.4,9.9,15.8,G,netora01
